name,state,latitude,longitude
Abilene,TX,32.4487364,-99.73314390000002
Akron,OH,41.0814447,-81.51900529999999
Alafaya,FL,28.5641,-81.2114
Alameda,CA,37.7652065,-122.2416355
Albany,NY,42.6525793,-73.7562317
Albany,GA,31.5785074,-84.15574099999999
Albany,OR,44.6365107,-123.1059282
Albuquerque,NM,35.0844909,-106.6511367
Alexandria,VA,38.8048355,-77.0469214
Alexandria,LA,31.3112936,-92.4451371
Alhambra,CA,34.095287,-118.1270146
Aliso Viejo,CA,33.57509599999999,-117.725431
Allen,TX,33.1031744,-96.67055030000002
Allentown,PA,40.6084305,-75.4901833
Aloha,OR,45.4942838,-122.8670454
Alpharetta,GA,34.0753762,-84.2940899
Altadena,CA,34.1897274,-118.1311819
Altamonte Springs,FL,28.6611089,-81.3656242
Altoona,PA,40.5186809,-78.3947359
Amarillo,TX,35.2219971,-101.8312969
Ames,IA,42.02335,-93.62562199999999
Anaheim,CA,33.8352932,-117.9145036
Anchorage,AK,61.2180556,-149.9002778
Anderson,IN,40.1053196,-85.6802541
Ankeny,IA,41.7266667,-93.6041667
Ann Arbor,MI,42.2808256,-83.7430378
Ann Arbor,MI,42.3076493,-83.8473015
Antelope North Rd,CA,38.7172491,-121.3274832
Antioch,CA,38.0049214,-121.805789
Apache Junction,AZ,33.4150485,-111.5495777
Apex,NC,35.732652,-78.85028559999999
Apopka,FL,28.68675,-81.51327599999999
Appleton,WI,44.2619309,-88.41538469999999
Apple Valley,CA,34.5008311,-117.1858759
Apple Valley,MN,44.7319094,-93.21772000000001
Arcadia,CA,34.1397292,-118.0353449
Arden-Arcade,CA,38.6008071,-121.3770336
Arlington,TX,32.735687,-97.10806559999999
Arlington,VA,38.8799697,-77.1067698
Arlington,MA,42.4153925,-71.1564729
Arlington Heights,IL,42.0883603,-87.98062650000001
Arvada,CO,39.8027644,-105.0874842
Ashburn,VA,39.0414079,-77.48101799999999
Asheville,NC,35.6009452,-82.55401499999999
Aspen Hill,MD,39.0795529,-77.07303379999999
Atascocita,TX,29.99883059999999,-95.1765978
Athens,GA,33.955802,-83.3823656
Atlanta,GA,33.7489954,-84.3879824
Attleboro,MA,41.94454409999999,-71.2856082
Auburn,WA,47.30732279999999,-122.2284532
Auburn,AL,32.6098566,-85.48078249999999
Augusta,GA,33.474246,-82.00967
Aurora,CO,39.7294319,-104.8319195
Aurora,IL,41.7605849,-88.32007150000001
Austin,TX,30.267153,-97.7430608
Avondale,AZ,33.4355977,-112.3496021
Azusa,CA,34.1336186,-117.9075627
Bakersfield,CA,35.3732921,-119.0187125
Baldwin Park,CA,34.0852868,-117.9608978
Baltimore,MD,39.2903848,-76.6121893
Barnstable,MA,41.7014167,-70.3030556
Bartlett,TN,35.2045328,-89.8739753
Bartlett,IL,41.9950276,-88.1856301
Baton Rouge,LA,30.4582829,-91.1403196
Battle Creek,MI,42.3211522,-85.17971419999999
Bayonne,NJ,40.6687141,-74.1143091
Baytown,TX,29.7355047,-94.97742740000001
Beaumont,TX,30.080174,-94.1265562
Beaumont,CA,33.9294606,-116.977248
Beavercreek,OH,39.7092262,-84.06326849999999
Beaverton,OR,45.48706199999999,-122.8037102
Bedford,TX,32.844017,-97.1430671
Bel Air South,MD,39.504033,-76.3181
Belleville,IL,38.5200504,-89.9839935
Bellevue,WA,47.610377,-122.2006786
Bellevue,on,0.0,0.0
Bellevue,NE,41.1586111,-95.93416669999999
Bellflower,CA,33.8816818,-118.1170117
Bell Gardens,CA,33.9652918,-118.1514588
Bellingham,WA,48.7595529,-122.4882249
Bend,OR,44.0581728,-121.3153096
Berkeley,CA,37.8715926,-122.272747
Berwyn,IL,41.85058739999999,-87.7936685
Bethesda,MD,38.984652,-77.0947092
Bethlehem,PA,40.6259316,-75.37045789999999
Billerica,MA,42.5584218,-71.2689461
Billings,Mt,45.7832856,-108.5006904
Biloxi,MS,30.3960318,-88.88530779999999
Binghamton,NY,42.09868669999999,-75.91797380000001
Birmingham,AL,33.5206608,-86.80248999999999
Bismarck,ND,46.8083268,-100.7837392
Blacksburg,VA,37.2295733,-80.4139393
Blaine,MN,45.1607987,-93.23494889999999
Bloomington,MN,44.840798,-93.2982799
Bloomington,IN,39.165325,-86.52638569999999
Bloomington,IL,40.4842027,-88.99368729999999
Blue Springs,MO,39.0169509,-94.2816148
Boca Raton,FL,26.3586885,-80.0830984
Boise,ID,43.612631,-116.211076
Bolingbrook,IL,41.69864159999999,-88.0683955
Bonita Springs,FL,26.339806,-81.7786972
Bossier City,LA,32.5159852,-93.7321228
Boston,MA,42.3584308,-71.0597732
Boulder,CO,40.0149856,-105.2705456
Bountiful,UT,40.8893895,-111.880771
Bowie,MD,39.0067768,-76.77913649999999
Bowling Green,KY,36.9903199,-86.4436018
Boynton Beach,FL,26.5253491,-80.0664309
Bradenton,FL,27.4989278,-82.5748194
Brandon,FL,27.937801,-82.2859247
Brentwood,NY,40.7812093,-73.2462273
Brentwood,CA,37.931868,-121.6957863
Bridgeport,CT,41.1865478,-73.19517669999999
Bristol,CT,41.67176480000001,-72.9492703
Brockton,MA,42.0834335,-71.0183787
Broken Arrow,OK,36.0525993,-95.7908195
Brookline,MA,42.33176419999999,-71.1211635
Brooklyn Park,MN,45.0941315,-93.3563405
Broomfield,CO,39.9205411,-105.0866504
Brownsville,TX,25.9017472,-97.4974838
Bryan,TX,30.6743643,-96.3699632
Buckeye,AZ,33.3703197,-112.5837766
Buena Park,CA,33.8675143,-117.9981181
Buffalo,NY,42.88644679999999,-78.8783689
Buffalo Grove,IL,42.1662831,-87.9631308
Bullhead City,AZ,35.1477774,-114.5682983
Burbank,CA,34.1808392,-118.3089661
Burbank,CA,37.3205556,-121.9316667
Burlington,NC,36.0956918,-79.43779909999999
Burlington,VT,44.4758825,-73.21207199999999
Burnsville,MN,44.7677424,-93.27772259999999
Caldwell,ID,43.66293839999999,-116.6873596
Calexico,CA,32.6789476,-115.4988834
Camarillo,CA,34.2163937,-119.0376023
Cambridge,MA,42.3726399,-71.10965279999999
Camden,NJ,39.9259463,-75.1196199
Canton,OH,40.79894729999999,-81.378447
Cape Coral,FL,26.5628537,-81.9495331
Carlsbad,CA,33.1580933,-117.3505939
Carmel,IN,39.978371,-86.1180435
Carmichael,CA,38.617127,-121.3282843
Carrollton,TX,32.9756415,-96.8899636
Carson,CA,33.8314058,-118.2820165
Carson Airport (CXP),ty,0.0,0.0
Cary,NC,35.79154,-78.7811169
Casa Grande,AZ,32.8795022,-111.7573521
Casas Adobes,AZ,32.3234078,-110.9950966
Casper,WY,42.866632,-106.313081
Castle Rock,CO,39.3722121,-104.8560902
Castro Valley,CA,37.6940973,-122.0863522
Catalina Foothills,AZ,32.297853,-110.9187037
Cathedral City,CA,33.7797426,-116.4652911
Catonsville,MD,39.2720509,-76.73191609999999
Cedar Hill,TX,32.5884689,-96.9561152
Cedar Park,TX,30.505198,-97.8202888
Cedar Rapids,IA,41.9778795,-91.6656232
Centennial,CO,39.5807452,-104.8771726
Centerville,OH,39.6283928,-84.15938179999999
Centreville,VA,38.8403909,-77.42887689999999
Ceres,CA,37.5949316,-120.9577098
Cerritos,CA,33.8583483,-118.0647871
Champaign,IL,40.1164204,-88.2433829
Chandler,AZ,33.3061605,-111.8412502
Chapel Hill,NC,35.9131996,-79.0558445
Charleston,SC,32.7765656,-79.93092159999999
Charleston,WV,38.3498195,-81.6326234
Charlotte,NC,35.2270869,-80.8431267
Charlottesville,VA,38.0293059,-78.47667810000002
Chattanooga,TN,35.0456297,-85.3096801
Cheektowaga,NY,42.9026136,-78.74457199999999
Chesapeake,VA,36.7682088,-76.2874927
Chesterfield,MO,38.6631083,-90.5770675
Cheyenne,WY,41.1399814,-104.8202462
Chicago,IL,41.8781136,-87.6297982
Chico,CA,39.7284944,-121.8374777
Chicopee,MA,42.1487043,-72.6078672
Chino,CA,34.0122346,-117.688944
Chino Hills,CA,33.9898188,-117.7325848
Chula Vista,CA,32.6400541,-117.0841955
Cicero,IL,41.8455877,-87.7539448
Cincinnati,OH,39.1031182,-84.5120196
Citrus Heights,CA,38.7071247,-121.2810611
Clarksville,TN,36.5297706,-87.3594528
Clearwater,FL,27.9658533,-82.8001026
Cleveland,OH,41.4994954,-81.6954088
Cleveland,TN,35.1595182,-84.8766115
Cleveland Heights,OH,41.5200518,-81.556235
Clifton,NJ,40.8584328,-74.16375529999999
Clovis,CA,36.8252277,-119.7029194
Coachella,CA,33.6803003,-116.173894
Coconut Creek,FL,26.2517482,-80.17893509999999
Coeur d'Alene,ID,47.6776832,-116.7804664
College Station,TX,30.627977,-96.3344068
Collierville,TN,35.042036,-89.6645266
Colorado Springs,CO,38.8338816,-104.8213634
Colton,CA,34.0739016,-117.3136547
Columbia,SC,34.0007104,-81.0348144
Columbia,MO,38.9517053,-92.3340724
Columbia,MD,39.2040236,-76.860565
Columbus,OH,39.9611755,-82.99879419999999
Columbus,GA,32.4609764,-84.9877094
Columbus,IN,39.2014404,-85.9213796
Commerce City,CO,39.8083196,-104.9338675
Compton,CA,33.8958492,-118.2200712
Concord,CA,37.9779776,-122.0310733
Concord,NC,35.4087517,-80.579511
Concord,NH,43.2081366,-71.5375718
Conroe,TX,30.3118769,-95.45605119999999
Conway,AR,35.0886963,-92.4421011
Coon Rapids,MN,45.1199652,-93.28772769999999
Coral Gables,FL,25.72149,-80.2683838
Coral Springs,FL,26.271192,-80.2706044
